#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.schedulerQueue.delay
#  Description: Downlink Queue Delay
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 0.0000000
#  Trials: 32
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000002
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000003
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000000
#  P02: 0.0000000
#  P03: 0.0000000
#  P04: 0.0000000
#  P05: 0.0000000
#  P06: 0.0000000
#  P07: 0.0000000
#  P08: 0.0000000
#  P09: 0.0000000
#  P10: 0.0000000
#  P11: 0.0000000
#  P12: 0.0000000
#  P13: 0.0000000
#  P14: 0.0000000
#  P15: 0.0000000
#  P16: 0.0000000
#  P17: 0.0000000
#  P18: 0.0000000
#  P19: 0.0000000
#  P20: 0.0000000
#  P21: 0.0000000
#  P22: 0.0000000
#  P23: 0.0000000
#  P24: 0.0000000
#  P25: 0.0000000
#  P26: 0.0000000
#  P27: 0.0000000
#  P28: 0.0000000
#  P29: 0.0000000
#  P30: 0.0000000
#  P31: 0.0000000
#  P32: 0.0000000
#  P33: 0.0000000
#  P34: 0.0000000
#  P35: 0.0000000
#  P36: 0.0000000
#  P37: 0.0000000
#  P38: 0.0000000
#  P39: 0.0000000
#  P40: 0.0000000
#  P41: 0.0000000
#  P42: 0.0000000
#  P43: 0.0000000
#  P44: 0.0000000
#  P45: 0.0000000
#  P46: 0.0000000
#  P47: 0.0000000
#  P48: 0.0000000
#  P49: 0.0000000
#  P50: 0.0000000
#  P51: 0.0000000
#  P52: 0.0000000
#  P53: 0.0000000
#  P54: 0.0000000
#  P55: 0.0000000
#  P56: 0.0000000
#  P57: 0.0000000
#  P58: 0.0000000
#  P59: 0.0000000
#  P60: 0.0000000
#  P61: 0.0000000
#  P62: 0.0000000
#  P63: 0.0000000
#  P64: 0.0000000
#  P65: 0.0000000
#  P66: 0.0000000
#  P67: 0.0000000
#  P68: 0.0000000
#  P69: 0.0000000
#  P70: 0.0000000
#  P71: 0.0000000
#  P72: 0.0000000
#  P73: 0.0000000
#  P74: 0.0000000
#  P75: 0.0000000
#  P76: 0.0000000
#  P77: 0.0000000
#  P78: 0.0000000
#  P79: 0.0000000
#  P80: 0.0000000
#  P81: 0.0000000
#  P82: 0.0000000
#  P83: 0.0000000
#  P84: 0.0000000
#  P85: 0.0000000
#  P86: 0.0000000
#  P87: 0.0000000
#  P88: 0.0000000
#  P89: 0.0000000
#  P90: 0.0000000
#  P91: 0.0000000
#  P92: 0.0000000
#  P93: 0.0000000
#  P94: 0.0000000
#  P95: 0.0000000
#  P96: 0.0000000
#  P97: 0.0000000
#  P98: 0.0000000
#  P99: 0.0000000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0005000           1.0000000       0.0000000       1.0000000     1
0.0010000           1.0000000       0.0000000       0.0000000     2
0.0015000           1.0000000       0.0000000       0.0000000     3
0.0020000           1.0000000       0.0000000       0.0000000     4
0.0025000           1.0000000       0.0000000       0.0000000     5
0.0030000           1.0000000       0.0000000       0.0000000     6
0.0035000           1.0000000       0.0000000       0.0000000     7
0.0040000           1.0000000       0.0000000       0.0000000     8
0.0045000           1.0000000       0.0000000       0.0000000     9
0.0050000           1.0000000       0.0000000       0.0000000    10
0.0055000           1.0000000       0.0000000       0.0000000    11
0.0060000           1.0000000       0.0000000       0.0000000    12
0.0065000           1.0000000       0.0000000       0.0000000    13
0.0070000           1.0000000       0.0000000       0.0000000    14
0.0075000           1.0000000       0.0000000       0.0000000    15
0.0080000           1.0000000       0.0000000       0.0000000    16
0.0085000           1.0000000       0.0000000       0.0000000    17
0.0090000           1.0000000       0.0000000       0.0000000    18
0.0095000           1.0000000       0.0000000       0.0000000    19
0.0100000           1.0000000       0.0000000       0.0000000    20
0.0105000           1.0000000       0.0000000       0.0000000    21
0.0110000           1.0000000       0.0000000       0.0000000    22
0.0115000           1.0000000       0.0000000       0.0000000    23
0.0120000           1.0000000       0.0000000       0.0000000    24
0.0125000           1.0000000       0.0000000       0.0000000    25
0.0130000           1.0000000       0.0000000       0.0000000    26
0.0135000           1.0000000       0.0000000       0.0000000    27
0.0140000           1.0000000       0.0000000       0.0000000    28
0.0145000           1.0000000       0.0000000       0.0000000    29
0.0150000           1.0000000       0.0000000       0.0000000    30
0.0155000           1.0000000       0.0000000       0.0000000    31
0.0160000           1.0000000       0.0000000       0.0000000    32
0.0165000           1.0000000       0.0000000       0.0000000    33
0.0170000           1.0000000       0.0000000       0.0000000    34
0.0175000           1.0000000       0.0000000       0.0000000    35
0.0180000           1.0000000       0.0000000       0.0000000    36
0.0185000           1.0000000       0.0000000       0.0000000    37
0.0190000           1.0000000       0.0000000       0.0000000    38
0.0195000           1.0000000       0.0000000       0.0000000    39
0.0200000           1.0000000       0.0000000       0.0000000    40
0.0205000           1.0000000       0.0000000       0.0000000    41
0.0210000           1.0000000       0.0000000       0.0000000    42
0.0215000           1.0000000       0.0000000       0.0000000    43
0.0220000           1.0000000       0.0000000       0.0000000    44
0.0225000           1.0000000       0.0000000       0.0000000    45
0.0230000           1.0000000       0.0000000       0.0000000    46
0.0235000           1.0000000       0.0000000       0.0000000    47
0.0240000           1.0000000       0.0000000       0.0000000    48
0.0245000           1.0000000       0.0000000       0.0000000    49
0.0250000           1.0000000       0.0000000       0.0000000    50
0.0255000           1.0000000       0.0000000       0.0000000    51
0.0260000           1.0000000       0.0000000       0.0000000    52
0.0265000           1.0000000       0.0000000       0.0000000    53
0.0270000           1.0000000       0.0000000       0.0000000    54
0.0275000           1.0000000       0.0000000       0.0000000    55
0.0280000           1.0000000       0.0000000       0.0000000    56
0.0285000           1.0000000       0.0000000       0.0000000    57
0.0290000           1.0000000       0.0000000       0.0000000    58
0.0295000           1.0000000       0.0000000       0.0000000    59
0.0300000           1.0000000       0.0000000       0.0000000    60
0.0305000           1.0000000       0.0000000       0.0000000    61
0.0310000           1.0000000       0.0000000       0.0000000    62
0.0315000           1.0000000       0.0000000       0.0000000    63
0.0320000           1.0000000       0.0000000       0.0000000    64
0.0325000           1.0000000       0.0000000       0.0000000    65
0.0330000           1.0000000       0.0000000       0.0000000    66
0.0335000           1.0000000       0.0000000       0.0000000    67
0.0340000           1.0000000       0.0000000       0.0000000    68
0.0345000           1.0000000       0.0000000       0.0000000    69
