#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.TxPower
#  Description: Uplink Tx Power distribution
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -42.8916248
#  Maximum: -34.5140603
#  Trials: 570
#  Mean: -38.7767087
# 
#  Variance: 10.2049313
#  Relative variance: 0.0067868
#  Coefficient of variation: 0.0823823
#  Standard deviation: 3.1945158
#  Relative standard deviation: -0.0823823
# 
#  Skewness: -0.0805631
# 
#  2nd moment: 1513.8201618
#  3rd moment: -59493.6285346
# 
#  Sum of all values: -22102.7239318
#  (Sum of all values)^2: 862877.4922298
#  (Sum of all values)^3: -33911368.2647138
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -110
#  Right border of x-axis: 22
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -43.8746000
#  P02: -43.7492000
#  P03: -43.6238000
#  P04: -43.4984000
#  P05: -43.3730000
#  P06: -43.2476000
#  P07: -43.1222000
#  P08: -42.9968000
#  P09: -42.8714000
#  P10: -42.7460000
#  P11: -42.6602000
#  P12: -42.6184000
#  P13: -42.5766000
#  P14: -42.5348000
#  P15: -42.4930000
#  P16: -42.4512000
#  P17: -42.4094000
#  P18: -42.3676000
#  P19: -42.3258000
#  P20: -42.2840000
#  P21: -42.2422000
#  P22: -42.2004000
#  P23: -42.1586000
#  P24: -42.1168000
#  P25: -42.0750000
#  P26: -42.0332000
#  P27: -41.9914000
#  P28: -41.9496000
#  P29: -41.9078000
#  P30: -41.8660000
#  P31: -41.8242000
#  P32: -41.7824000
#  P33: -41.7406000
#  P34: -41.6988000
#  P35: -41.6570000
#  P36: -41.6152000
#  P37: -41.5734000
#  P38: -41.5316000
#  P39: -41.4898000
#  P40: -41.4480000
#  P41: -41.4062000
#  P42: -41.3644000
#  P43: -41.1356000
#  P44: -40.8848000
#  P45: -40.6340000
#  P46: -40.3832000
#  P47: -40.1324000
#  P48: -38.5616000
#  P49: -38.3108000
#  P50: -38.0600000
#  P51: -37.8092000
#  P52: -37.5584000
#  P53: -37.3538000
#  P54: -37.2284000
#  P55: -37.1030000
#  P56: -36.9776000
#  P57: -36.8522000
#  P58: -36.7268000
#  P59: -36.6014000
#  P60: -36.4760000
#  P61: -36.3506000
#  P62: -36.2252000
#  P63: -36.0998000
#  P64: -36.0448000
#  P65: -36.0030000
#  P66: -35.9612000
#  P67: -35.9194000
#  P68: -35.8776000
#  P69: -35.8358000
#  P70: -35.7940000
#  P71: -35.7522000
#  P72: -35.7104000
#  P73: -35.6686000
#  P74: -35.6268000
#  P75: -35.5850000
#  P76: -35.5432000
#  P77: -35.5014000
#  P78: -35.4596000
#  P79: -35.4178000
#  P80: -35.3760000
#  P81: -35.3342000
#  P82: -35.2924000
#  P83: -35.2506000
#  P84: -35.2088000
#  P85: -35.1670000
#  P86: -35.1252000
#  P87: -35.0834000
#  P88: -35.0416000
#  P89: -34.9998000
#  P90: -34.9580000
#  P91: -34.9162000
#  P92: -34.8744000
#  P93: -34.8326000
#  P94: -34.7908000
#  P95: -34.7477030
#  P96: -34.7009745
#  P97: -34.6542459
#  P98: -34.6075174
#  P99: -34.5607888
#  P100: -34.5140603
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-20.2400000         1.0000000       0.0000000       0.0000000    68
-18.9200000         1.0000000       0.0000000       0.0000000    69
-17.6000000         1.0000000       0.0000000       0.0000000    70
-16.2800000         1.0000000       0.0000000       0.0000000    71
-14.9600000         1.0000000       0.0000000       0.0000000    72
-13.6400000         1.0000000       0.0000000       0.0000000    73
-12.3200000         1.0000000       0.0000000       0.0000000    74
-11.0000000         1.0000000       0.0000000       0.0000000    75
-9.6800000          1.0000000       0.0000000       0.0000000    76
-8.3600000          1.0000000       0.0000000       0.0000000    77
-7.0400000          1.0000000       0.0000000       0.0000000    78
-5.7200000          1.0000000       0.0000000       0.0000000    79
-4.4000000          1.0000000       0.0000000       0.0000000    80
-3.0800000          1.0000000       0.0000000       0.0000000    81
-1.7600000          1.0000000       0.0000000       0.0000000    82
-0.4400000          1.0000000       0.0000000       0.0000000    83
0.8800000           1.0000000       0.0000000       0.0000000    84
2.2000000           1.0000000       0.0000000       0.0000000    85
3.5200000           1.0000000       0.0000000       0.0000000    86
4.8400000           1.0000000       0.0000000       0.0000000    87
6.1600000           1.0000000       0.0000000       0.0000000    88
7.4800000           1.0000000       0.0000000       0.0000000    89
8.8000000           1.0000000       0.0000000       0.0000000    90
10.1200000          1.0000000       0.0000000       0.0000000    91
11.4400000          1.0000000       0.0000000       0.0000000    92
12.7600000          1.0000000       0.0000000       0.0000000    93
14.0800000          1.0000000       0.0000000       0.0000000    94
15.4000000          1.0000000       0.0000000       0.0000000    95
16.7200000          1.0000000       0.0000000       0.0000000    96
18.0400000          1.0000000       0.0000000       0.0000000    97
19.3600000          1.0000000       0.0000000       0.0000000    98
20.6800000          1.0000000       0.0000000       0.0000000    99
22.0000000          1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
