#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.Interference
#  Description: Center Cell UL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -116.4472749
#  Maximum: -116.4472749
#  Trials: 256
#  Mean: -116.4472749
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 13559.9678430
#  3rd moment: -1579021.3037177
# 
#  Sum of all values: -29810.5023869
#  (Sum of all values)^2: 3471351.7678183
#  (Sum of all values)^3: -404229453.7517232
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -200
#  Right border of x-axis: 200
#  Resolution of x-axis: 4000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -116.4994727
#  P02: -116.4989455
#  P03: -116.4984182
#  P04: -116.4978910
#  P05: -116.4973637
#  P06: -116.4968365
#  P07: -116.4963092
#  P08: -116.4957820
#  P09: -116.4952547
#  P10: -116.4947275
#  P11: -116.4942002
#  P12: -116.4936730
#  P13: -116.4931457
#  P14: -116.4926185
#  P15: -116.4920912
#  P16: -116.4915640
#  P17: -116.4910367
#  P18: -116.4905095
#  P19: -116.4899822
#  P20: -116.4894550
#  P21: -116.4889277
#  P22: -116.4884005
#  P23: -116.4878732
#  P24: -116.4873460
#  P25: -116.4868187
#  P26: -116.4862915
#  P27: -116.4857642
#  P28: -116.4852370
#  P29: -116.4847097
#  P30: -116.4841825
#  P31: -116.4836552
#  P32: -116.4831280
#  P33: -116.4826007
#  P34: -116.4820735
#  P35: -116.4815462
#  P36: -116.4810190
#  P37: -116.4804917
#  P38: -116.4799645
#  P39: -116.4794372
#  P40: -116.4789100
#  P41: -116.4783827
#  P42: -116.4778555
#  P43: -116.4773282
#  P44: -116.4768010
#  P45: -116.4762737
#  P46: -116.4757465
#  P47: -116.4752192
#  P48: -116.4746920
#  P49: -116.4741647
#  P50: -116.4736375
#  P51: -116.4731102
#  P52: -116.4725830
#  P53: -116.4720557
#  P54: -116.4715285
#  P55: -116.4710012
#  P56: -116.4704740
#  P57: -116.4699467
#  P58: -116.4694195
#  P59: -116.4688922
#  P60: -116.4683650
#  P61: -116.4678377
#  P62: -116.4673105
#  P63: -116.4667832
#  P64: -116.4662560
#  P65: -116.4657287
#  P66: -116.4652015
#  P67: -116.4646742
#  P68: -116.4641470
#  P69: -116.4636197
#  P70: -116.4630925
#  P71: -116.4625652
#  P72: -116.4620380
#  P73: -116.4615107
#  P74: -116.4609835
#  P75: -116.4604562
#  P76: -116.4599290
#  P77: -116.4594017
#  P78: -116.4588745
#  P79: -116.4583472
#  P80: -116.4578200
#  P81: -116.4572927
#  P82: -116.4567655
#  P83: -116.4562382
#  P84: -116.4557110
#  P85: -116.4551837
#  P86: -116.4546565
#  P87: -116.4541292
#  P88: -116.4536020
#  P89: -116.4530747
#  P90: -116.4525475
#  P91: -116.4520202
#  P92: -116.4514930
#  P93: -116.4509657
#  P94: -116.4504385
#  P95: -116.4499112
#  P96: -116.4493840
#  P97: -116.4488567
#  P98: -116.4483294
#  P99: -116.4478022
#  P100: -116.4472749
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-193.2000000        0.0000000       1.0000000       0.0000000    68
-193.1000000        0.0000000       1.0000000       0.0000000    69
-193.0000000        0.0000000       1.0000000       0.0000000    70
-192.9000000        0.0000000       1.0000000       0.0000000    71
-192.8000000        0.0000000       1.0000000       0.0000000    72
-192.7000000        0.0000000       1.0000000       0.0000000    73
-192.6000000        0.0000000       1.0000000       0.0000000    74
-192.5000000        0.0000000       1.0000000       0.0000000    75
-192.4000000        0.0000000       1.0000000       0.0000000    76
-192.3000000        0.0000000       1.0000000       0.0000000    77
-192.2000000        0.0000000       1.0000000       0.0000000    78
-192.1000000        0.0000000       1.0000000       0.0000000    79
-192.0000000        0.0000000       1.0000000       0.0000000    80
-191.9000000        0.0000000       1.0000000       0.0000000    81
-191.8000000        0.0000000       1.0000000       0.0000000    82
-191.7000000        0.0000000       1.0000000       0.0000000    83
-191.6000000        0.0000000       1.0000000       0.0000000    84
-191.5000000        0.0000000       1.0000000       0.0000000    85
-191.4000000        0.0000000       1.0000000       0.0000000    86
-191.3000000        0.0000000       1.0000000       0.0000000    87
-191.2000000        0.0000000       1.0000000       0.0000000    88
-191.1000000        0.0000000       1.0000000       0.0000000    89
-191.0000000        0.0000000       1.0000000       0.0000000    90
-190.9000000        0.0000000       1.0000000       0.0000000    91
-190.8000000        0.0000000       1.0000000       0.0000000    92
-190.7000000        0.0000000       1.0000000       0.0000000    93
-190.6000000        0.0000000       1.0000000       0.0000000    94
-190.5000000        0.0000000       1.0000000       0.0000000    95
-190.4000000        0.0000000       1.0000000       0.0000000    96
-190.3000000        0.0000000       1.0000000       0.0000000    97
-190.2000000        0.0000000       1.0000000       0.0000000    98
-190.1000000        0.0000000       1.0000000       0.0000000    99
-190.0000000        0.0000000       1.0000000       0.0000000   100
-189.9000000        0.0000000       1.0000000       0.0000000   101
-189.8000000        0.0000000       1.0000000       0.0000000   102
-189.7000000        0.0000000       1.0000000       0.0000000   103
-189.6000000        0.0000000       1.0000000       0.0000000   104
-189.5000000        0.0000000       1.0000000       0.0000000   105
-189.4000000        0.0000000       1.0000000       0.0000000   106
-189.3000000        0.0000000       1.0000000       0.0000000   107
-189.2000000        0.0000000       1.0000000       0.0000000   108
-189.1000000        0.0000000       1.0000000       0.0000000   109
-189.0000000        0.0000000       1.0000000       0.0000000   110
-188.9000000        0.0000000       1.0000000       0.0000000   111
-188.8000000        0.0000000       1.0000000       0.0000000   112
-188.7000000        0.0000000       1.0000000       0.0000000   113
-188.6000000        0.0000000       1.0000000       0.0000000   114
-188.5000000        0.0000000       1.0000000       0.0000000   115
-188.4000000        0.0000000       1.0000000       0.0000000   116
-188.3000000        0.0000000       1.0000000       0.0000000   117
-188.2000000        0.0000000       1.0000000       0.0000000   118
-188.1000000        0.0000000       1.0000000       0.0000000   119
-188.0000000        0.0000000       1.0000000       0.0000000   120
-187.9000000        0.0000000       1.0000000       0.0000000   121
-187.8000000        0.0000000       1.0000000       0.0000000   122
-187.7000000        0.0000000       1.0000000       0.0000000   123
-187.6000000        0.0000000       1.0000000       0.0000000   124
-187.5000000        0.0000000       1.0000000       0.0000000   125
-187.4000000        0.0000000       1.0000000       0.0000000   126
-187.3000000        0.0000000       1.0000000       0.0000000   127
-187.2000000        0.0000000       1.0000000       0.0000000   128
-187.1000000        0.0000000       1.0000000       0.0000000   129
-187.0000000        0.0000000       1.0000000       0.0000000   130
-186.9000000        0.0000000       1.0000000       0.0000000   131
-186.8000000        0.0000000       1.0000000       0.0000000   132
-186.7000000        0.0000000       1.0000000       0.0000000   133
-186.6000000        0.0000000       1.0000000       0.0000000   134
-186.5000000        0.0000000       1.0000000       0.0000000   135
