#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRest
#  Description: SINR Estimation Error [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 41.8509700
#  Maximum: 48.3969122
#  Trials: 570
#  Mean: 45.2967752
# 
#  Variance: 10.6962933
#  Relative variance: 0.0052131
#  Coefficient of variation: 0.0722020
#  Standard deviation: 3.2705188
#  Relative standard deviation: 0.0722020
# 
#  Skewness: -0.1051321
# 
#  2nd moment: 2062.4753741
#  3rd moment: 94387.1208185
# 
#  Sum of all values: 25819.1618810
#  (Sum of all values)^2: 1175610.9632233
#  (Sum of all values)^3: 53800658.8665366
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 41.0211111
#  P02: 41.0422222
#  P03: 41.0633333
#  P04: 41.0844444
#  P05: 41.1055556
#  P06: 41.1266667
#  P07: 41.1477778
#  P08: 41.1688889
#  P09: 41.1900000
#  P10: 41.2111111
#  P11: 41.2322222
#  P12: 41.2533333
#  P13: 41.2744444
#  P14: 41.2955556
#  P15: 41.3166667
#  P16: 41.3377778
#  P17: 41.3588889
#  P18: 41.3800000
#  P19: 41.4011111
#  P20: 41.4222222
#  P21: 41.4433333
#  P22: 41.4644444
#  P23: 41.4855556
#  P24: 41.5066667
#  P25: 41.5277778
#  P26: 41.5488889
#  P27: 41.5700000
#  P28: 41.5911111
#  P29: 41.6122222
#  P30: 41.6333333
#  P31: 41.6544444
#  P32: 41.6755556
#  P33: 41.6966667
#  P34: 41.7177778
#  P35: 41.7388889
#  P36: 41.7600000
#  P37: 41.7811111
#  P38: 41.8022222
#  P39: 41.8233333
#  P40: 41.8444444
#  P41: 41.8655556
#  P42: 41.8866667
#  P43: 41.9077778
#  P44: 41.9288889
#  P45: 41.9500000
#  P46: 41.9711111
#  P47: 41.9922222
#  P48: 48.0047629
#  P49: 48.0123043
#  P50: 48.0198456
#  P51: 48.0273869
#  P52: 48.0349283
#  P53: 48.0424696
#  P54: 48.0500109
#  P55: 48.0575523
#  P56: 48.0650936
#  P57: 48.0726349
#  P58: 48.0801763
#  P59: 48.0877176
#  P60: 48.0952589
#  P61: 48.1028003
#  P62: 48.1103416
#  P63: 48.1178829
#  P64: 48.1254243
#  P65: 48.1329656
#  P66: 48.1405069
#  P67: 48.1480483
#  P68: 48.1555896
#  P69: 48.1631309
#  P70: 48.1706723
#  P71: 48.1782136
#  P72: 48.1857549
#  P73: 48.1932963
#  P74: 48.2008376
#  P75: 48.2083789
#  P76: 48.2159203
#  P77: 48.2234616
#  P78: 48.2310029
#  P79: 48.2385443
#  P80: 48.2460856
#  P81: 48.2536269
#  P82: 48.2611683
#  P83: 48.2687096
#  P84: 48.2762509
#  P85: 48.2837922
#  P86: 48.2913336
#  P87: 48.2988749
#  P88: 48.3064162
#  P89: 48.3139576
#  P90: 48.3214989
#  P91: 48.3290402
#  P92: 48.3365816
#  P93: 48.3441229
#  P94: 48.3516642
#  P95: 48.3592056
#  P96: 48.3667469
#  P97: 48.3742882
#  P98: 48.3818296
#  P99: 48.3893709
#  P100: 48.3969122
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
90.0000000          1.0000000       0.0000000       0.0000000   140
91.0000000          1.0000000       0.0000000       0.0000000   141
92.0000000          1.0000000       0.0000000       0.0000000   142
93.0000000          1.0000000       0.0000000       0.0000000   143
94.0000000          1.0000000       0.0000000       0.0000000   144
95.0000000          1.0000000       0.0000000       0.0000000   145
96.0000000          1.0000000       0.0000000       0.0000000   146
97.0000000          1.0000000       0.0000000       0.0000000   147
98.0000000          1.0000000       0.0000000       0.0000000   148
99.0000000          1.0000000       0.0000000       0.0000000   149
100.0000000         1.0000000       0.0000000       0.0000000   150
# -----------------------------------------------------------
