#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.effSINRest
#  Description: SINR Estimation [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 0.0000000
#  Trials: 320
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -0.9900000
#  P02: -0.9800000
#  P03: -0.9700000
#  P04: -0.9600000
#  P05: -0.9500000
#  P06: -0.9400000
#  P07: -0.9300000
#  P08: -0.9200000
#  P09: -0.9100000
#  P10: -0.9000000
#  P11: -0.8900000
#  P12: -0.8800000
#  P13: -0.8700000
#  P14: -0.8600000
#  P15: -0.8500000
#  P16: -0.8400000
#  P17: -0.8300000
#  P18: -0.8200000
#  P19: -0.8100000
#  P20: -0.8000000
#  P21: -0.7900000
#  P22: -0.7800000
#  P23: -0.7700000
#  P24: -0.7600000
#  P25: -0.7500000
#  P26: -0.7400000
#  P27: -0.7300000
#  P28: -0.7200000
#  P29: -0.7100000
#  P30: -0.7000000
#  P31: -0.6900000
#  P32: -0.6800000
#  P33: -0.6700000
#  P34: -0.6600000
#  P35: -0.6500000
#  P36: -0.6400000
#  P37: -0.6300000
#  P38: -0.6200000
#  P39: -0.6100000
#  P40: -0.6000000
#  P41: -0.5900000
#  P42: -0.5800000
#  P43: -0.5700000
#  P44: -0.5600000
#  P45: -0.5500000
#  P46: -0.5400000
#  P47: -0.5300000
#  P48: -0.5200000
#  P49: -0.5100000
#  P50: -0.5000000
#  P51: -0.4900000
#  P52: -0.4800000
#  P53: -0.4700000
#  P54: -0.4600000
#  P55: -0.4500000
#  P56: -0.4400000
#  P57: -0.4300000
#  P58: -0.4200000
#  P59: -0.4100000
#  P60: -0.4000000
#  P61: -0.3900000
#  P62: -0.3800000
#  P63: -0.3700000
#  P64: -0.3600000
#  P65: -0.3500000
#  P66: -0.3400000
#  P67: -0.3300000
#  P68: -0.3200000
#  P69: -0.3100000
#  P70: -0.3000000
#  P71: -0.2900000
#  P72: -0.2800000
#  P73: -0.2700000
#  P74: -0.2600000
#  P75: -0.2500000
#  P76: -0.2400000
#  P77: -0.2300000
#  P78: -0.2200000
#  P79: -0.2100000
#  P80: -0.2000000
#  P81: -0.1900000
#  P82: -0.1800000
#  P83: -0.1700000
#  P84: -0.1600000
#  P85: -0.1500000
#  P86: -0.1400000
#  P87: -0.1300000
#  P88: -0.1200000
#  P89: -0.1100000
#  P90: -0.1000000
#  P91: -0.0900000
#  P92: -0.0800000
#  P93: -0.0700000
#  P94: -0.0600000
#  P95: -0.0500000
#  P96: -0.0400000
#  P97: -0.0300000
#  P98: -0.0200000
#  P99: -0.0100000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           1.0000000       0.0000000       1.0000000    50
1.0000000           1.0000000       0.0000000       0.0000000    51
2.0000000           1.0000000       0.0000000       0.0000000    52
3.0000000           1.0000000       0.0000000       0.0000000    53
4.0000000           1.0000000       0.0000000       0.0000000    54
5.0000000           1.0000000       0.0000000       0.0000000    55
6.0000000           1.0000000       0.0000000       0.0000000    56
7.0000000           1.0000000       0.0000000       0.0000000    57
8.0000000           1.0000000       0.0000000       0.0000000    58
9.0000000           1.0000000       0.0000000       0.0000000    59
10.0000000          1.0000000       0.0000000       0.0000000    60
11.0000000          1.0000000       0.0000000       0.0000000    61
12.0000000          1.0000000       0.0000000       0.0000000    62
13.0000000          1.0000000       0.0000000       0.0000000    63
14.0000000          1.0000000       0.0000000       0.0000000    64
15.0000000          1.0000000       0.0000000       0.0000000    65
16.0000000          1.0000000       0.0000000       0.0000000    66
17.0000000          1.0000000       0.0000000       0.0000000    67
