#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRestError
#  Description: SINR Estimation Error [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -5.0330030
#  Maximum: 13.6444911
#  Trials: 320
#  Mean: 1.1431419
# 
#  Variance: 19.1538459
#  Relative variance: 14.6573593
#  Coefficient of variation: 3.8284931
#  Standard deviation: 4.3765107
#  Relative standard deviation: 3.8284931
# 
#  Skewness: 0.9029914
# 
#  2nd moment: 20.4007635
#  3rd moment: 142.6703158
# 
#  Sum of all values: 365.8053944
#  (Sum of all values)^2: 6528.2443135
#  (Sum of all values)^3: 45654.5010464
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -30
#  Right border of x-axis: 30
#  Resolution of x-axis: 600
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -5.0466667
#  P02: -4.9920000
#  P03: -4.9280000
#  P04: -4.8400000
#  P05: -4.6500000
#  P06: -4.3800000
#  P07: -4.0600000
#  P08: -3.9675000
#  P09: -3.9275000
#  P10: -3.8750000
#  P11: -3.7960000
#  P12: -3.7320000
#  P13: -3.6600000
#  P14: -3.5800000
#  P15: -3.5000000
#  P16: -3.3600000
#  P17: -3.1300000
#  P18: -2.9466667
#  P19: -2.7733333
#  P20: -2.6500000
#  P21: -2.4933333
#  P22: -2.3800000
#  P23: -2.2466667
#  P24: -2.1400000
#  P25: -1.9833333
#  P26: -1.9300000
#  P27: -1.8766667
#  P28: -1.8233333
#  P29: -1.7400000
#  P30: -1.6600000
#  P31: -1.5950000
#  P32: -1.5150000
#  P33: -1.4133333
#  P34: -1.1200000
#  P35: -1.0571429
#  P36: -1.0114286
#  P37: -0.8866667
#  P38: -0.7700000
#  P39: -0.6400000
#  P40: -0.5500000
#  P41: -0.3933333
#  P42: -0.2933333
#  P43: -0.2400000
#  P44: -0.1840000
#  P45: -0.1200000
#  P46: -0.0685714
#  P47: -0.0228571
#  P48: 0.0800000
#  P49: 0.3133333
#  P50: 0.3666667
#  P51: 0.4200000
#  P52: 0.4733333
#  P53: 0.5320000
#  P54: 0.5960000
#  P55: 0.8000000
#  P56: 0.8800000
#  P57: 1.0100000
#  P58: 1.0900000
#  P59: 1.1933333
#  P60: 1.2428571
#  P61: 1.2885714
#  P62: 1.3800000
#  P63: 1.5800000
#  P64: 1.7266667
#  P65: 1.8500000
#  P66: 2.3400000
#  P67: 2.5200000
#  P68: 2.7800000
#  P69: 2.9266667
#  P70: 3.1000000
#  P71: 3.3400000
#  P72: 3.4700000
#  P73: 3.5520000
#  P74: 3.6800000
#  P75: 3.9250000
#  P76: 4.0100000
#  P77: 4.1466667
#  P78: 4.2800000
#  P79: 4.5266667
#  P80: 4.6500000
#  P81: 4.8200000
#  P82: 4.9600000
#  P83: 5.1533333
#  P84: 5.2600000
#  P85: 5.4000000
#  P86: 5.6200000
#  P87: 5.8133333
#  P88: 5.9600000
#  P89: 6.1600000
#  P90: 6.4000000
#  P91: 6.8200000
#  P92: 7.1400000
#  P93: 8.1300000
#  P94: 10.6800000
#  P95: 11.4666667
#  P96: 11.7200000
#  P97: 12.2400000
#  P98: 12.9600000
#  P99: 13.4400000
#  P100: 13.6444911
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-23.2000000         0.0000000       1.0000000       0.0000000    68
-23.1000000         0.0000000       1.0000000       0.0000000    69
-23.0000000         0.0000000       1.0000000       0.0000000    70
-22.9000000         0.0000000       1.0000000       0.0000000    71
-22.8000000         0.0000000       1.0000000       0.0000000    72
-22.7000000         0.0000000       1.0000000       0.0000000    73
-22.6000000         0.0000000       1.0000000       0.0000000    74
-22.5000000         0.0000000       1.0000000       0.0000000    75
-22.4000000         0.0000000       1.0000000       0.0000000    76
-22.3000000         0.0000000       1.0000000       0.0000000    77
-22.2000000         0.0000000       1.0000000       0.0000000    78
-22.1000000         0.0000000       1.0000000       0.0000000    79
-22.0000000         0.0000000       1.0000000       0.0000000    80
-21.9000000         0.0000000       1.0000000       0.0000000    81
-21.8000000         0.0000000       1.0000000       0.0000000    82
-21.7000000         0.0000000       1.0000000       0.0000000    83
-21.6000000         0.0000000       1.0000000       0.0000000    84
-21.5000000         0.0000000       1.0000000       0.0000000    85
-21.4000000         0.0000000       1.0000000       0.0000000    86
-21.3000000         0.0000000       1.0000000       0.0000000    87
-21.2000000         0.0000000       1.0000000       0.0000000    88
-21.1000000         0.0000000       1.0000000       0.0000000    89
-21.0000000         0.0000000       1.0000000       0.0000000    90
-20.9000000         0.0000000       1.0000000       0.0000000    91
-20.8000000         0.0000000       1.0000000       0.0000000    92
-20.7000000         0.0000000       1.0000000       0.0000000    93
-20.6000000         0.0000000       1.0000000       0.0000000    94
-20.5000000         0.0000000       1.0000000       0.0000000    95
-20.4000000         0.0000000       1.0000000       0.0000000    96
-20.3000000         0.0000000       1.0000000       0.0000000    97
-20.2000000         0.0000000       1.0000000       0.0000000    98
-20.1000000         0.0000000       1.0000000       0.0000000    99
-20.0000000         0.0000000       1.0000000       0.0000000   100
-19.9000000         0.0000000       1.0000000       0.0000000   101
-19.8000000         0.0000000       1.0000000       0.0000000   102
-19.7000000         0.0000000       1.0000000       0.0000000   103
-19.6000000         0.0000000       1.0000000       0.0000000   104
-19.5000000         0.0000000       1.0000000       0.0000000   105
-19.4000000         0.0000000       1.0000000       0.0000000   106
-19.3000000         0.0000000       1.0000000       0.0000000   107
-19.2000000         0.0000000       1.0000000       0.0000000   108
-19.1000000         0.0000000       1.0000000       0.0000000   109
-19.0000000         0.0000000       1.0000000       0.0000000   110
-18.9000000         0.0000000       1.0000000       0.0000000   111
-18.8000000         0.0000000       1.0000000       0.0000000   112
-18.7000000         0.0000000       1.0000000       0.0000000   113
-18.6000000         0.0000000       1.0000000       0.0000000   114
-18.5000000         0.0000000       1.0000000       0.0000000   115
-18.4000000         0.0000000       1.0000000       0.0000000   116
-18.3000000         0.0000000       1.0000000       0.0000000   117
-18.2000000         0.0000000       1.0000000       0.0000000   118
-18.1000000         0.0000000       1.0000000       0.0000000   119
-18.0000000         0.0000000       1.0000000       0.0000000   120
-17.9000000         0.0000000       1.0000000       0.0000000   121
-17.8000000         0.0000000       1.0000000       0.0000000   122
-17.7000000         0.0000000       1.0000000       0.0000000   123
-17.6000000         0.0000000       1.0000000       0.0000000   124
-17.5000000         0.0000000       1.0000000       0.0000000   125
-17.4000000         0.0000000       1.0000000       0.0000000   126
-17.3000000         0.0000000       1.0000000       0.0000000   127
-17.2000000         0.0000000       1.0000000       0.0000000   128
-17.1000000         0.0000000       1.0000000       0.0000000   129
-17.0000000         0.0000000       1.0000000       0.0000000   130
-16.9000000         0.0000000       1.0000000       0.0000000   131
-16.8000000         0.0000000       1.0000000       0.0000000   132
-16.7000000         0.0000000       1.0000000       0.0000000   133
-16.6000000         0.0000000       1.0000000       0.0000000   134
-16.5000000         0.0000000       1.0000000       0.0000000   135
