#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRestError
#  Description: SINR Estimation Error [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 31.7265576
#  Maximum: 41.5786407
#  Trials: 480
#  Mean: 35.7835381
# 
#  Variance: 3.7665575
#  Relative variance: 0.0029416
#  Coefficient of variation: 0.0542362
#  Standard deviation: 1.9407621
#  Relative standard deviation: 0.0542362
# 
#  Skewness: 0.0426185
# 
#  2nd moment: 1284.2203119
#  3rd moment: 46223.2579670
# 
#  Sum of all values: 17176.0983040
#  (Sum of all values)^2: 616425.7497069
#  (Sum of all values)^3: 22187163.8241680
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: 100
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 32.0296296
#  P02: 32.2074074
#  P03: 32.3851852
#  P04: 32.5629630
#  P05: 32.7407407
#  P06: 32.9185185
#  P07: 33.0329114
#  P08: 33.0936709
#  P09: 33.1544304
#  P10: 33.2151899
#  P11: 33.2759494
#  P12: 33.3367089
#  P13: 33.3974684
#  P14: 33.4582278
#  P15: 33.5189873
#  P16: 33.5797468
#  P17: 33.6405063
#  P18: 33.7012658
#  P19: 33.7620253
#  P20: 33.8227848
#  P21: 33.8835443
#  P22: 33.9443038
#  P23: 34.0049383
#  P24: 34.0641975
#  P25: 34.1234568
#  P26: 34.1827160
#  P27: 34.2419753
#  P28: 34.3012346
#  P29: 34.3604938
#  P30: 34.4197531
#  P31: 34.4790123
#  P32: 34.5382716
#  P33: 34.5975309
#  P34: 34.6567901
#  P35: 34.7160494
#  P36: 34.7753086
#  P37: 34.8345679
#  P38: 34.8938272
#  P39: 34.9530864
#  P40: 35.0204082
#  P41: 35.1183673
#  P42: 35.2163265
#  P43: 35.3142857
#  P44: 35.4122449
#  P45: 35.5102041
#  P46: 35.6081633
#  P47: 35.7061224
#  P48: 35.8040816
#  P49: 35.9020408
#  P50: 36.0000000
#  P51: 36.0564706
#  P52: 36.1129412
#  P53: 36.1694118
#  P54: 36.2258824
#  P55: 36.2823529
#  P56: 36.3388235
#  P57: 36.3952941
#  P58: 36.4517647
#  P59: 36.5082353
#  P60: 36.5647059
#  P61: 36.6211765
#  P62: 36.6776471
#  P63: 36.7341176
#  P64: 36.7905882
#  P65: 36.8470588
#  P66: 36.9035294
#  P67: 36.9600000
#  P68: 37.0141414
#  P69: 37.0626263
#  P70: 37.1111111
#  P71: 37.1595960
#  P72: 37.2080808
#  P73: 37.2565657
#  P74: 37.3050505
#  P75: 37.3535354
#  P76: 37.4020202
#  P77: 37.4505051
#  P78: 37.4989899
#  P79: 37.5474747
#  P80: 37.5959596
#  P81: 37.6444444
#  P82: 37.6929293
#  P83: 37.7414141
#  P84: 37.7898990
#  P85: 37.8383838
#  P86: 37.8868687
#  P87: 37.9353535
#  P88: 37.9838384
#  P89: 38.0800000
#  P90: 38.2000000
#  P91: 38.3200000
#  P92: 38.4400000
#  P93: 38.5600000
#  P94: 38.6800000
#  P95: 38.8000000
#  P96: 38.9200000
#  P97: 39.1454545
#  P98: 39.5818182
#  P99: 40.0500000
#  P100: 41.5786407
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
37.0000000          0.6770833       0.3229167       0.1770833   137
38.0000000          0.8833333       0.1166667       0.2062500   138
39.0000000          0.9666667       0.0333333       0.0833333   139
40.0000000          0.9895833       0.0104167       0.0229167   140
41.0000000          0.9979167       0.0020833       0.0083333   141
42.0000000          1.0000000       0.0000000       0.0020833   142
43.0000000          1.0000000       0.0000000       0.0000000   143
44.0000000          1.0000000       0.0000000       0.0000000   144
45.0000000          1.0000000       0.0000000       0.0000000   145
46.0000000          1.0000000       0.0000000       0.0000000   146
47.0000000          1.0000000       0.0000000       0.0000000   147
48.0000000          1.0000000       0.0000000       0.0000000   148
49.0000000          1.0000000       0.0000000       0.0000000   149
50.0000000          1.0000000       0.0000000       0.0000000   150
51.0000000          1.0000000       0.0000000       0.0000000   151
52.0000000          1.0000000       0.0000000       0.0000000   152
53.0000000          1.0000000       0.0000000       0.0000000   153
54.0000000          1.0000000       0.0000000       0.0000000   154
55.0000000          1.0000000       0.0000000       0.0000000   155
56.0000000          1.0000000       0.0000000       0.0000000   156
57.0000000          1.0000000       0.0000000       0.0000000   157
58.0000000          1.0000000       0.0000000       0.0000000   158
59.0000000          1.0000000       0.0000000       0.0000000   159
60.0000000          1.0000000       0.0000000       0.0000000   160
61.0000000          1.0000000       0.0000000       0.0000000   161
62.0000000          1.0000000       0.0000000       0.0000000   162
63.0000000          1.0000000       0.0000000       0.0000000   163
64.0000000          1.0000000       0.0000000       0.0000000   164
65.0000000          1.0000000       0.0000000       0.0000000   165
66.0000000          1.0000000       0.0000000       0.0000000   166
67.0000000          1.0000000       0.0000000       0.0000000   167
68.0000000          1.0000000       0.0000000       0.0000000   168
69.0000000          1.0000000       0.0000000       0.0000000   169
70.0000000          1.0000000       0.0000000       0.0000000   170
71.0000000          1.0000000       0.0000000       0.0000000   171
72.0000000          1.0000000       0.0000000       0.0000000   172
73.0000000          1.0000000       0.0000000       0.0000000   173
74.0000000          1.0000000       0.0000000       0.0000000   174
75.0000000          1.0000000       0.0000000       0.0000000   175
76.0000000          1.0000000       0.0000000       0.0000000   176
77.0000000          1.0000000       0.0000000       0.0000000   177
78.0000000          1.0000000       0.0000000       0.0000000   178
79.0000000          1.0000000       0.0000000       0.0000000   179
80.0000000          1.0000000       0.0000000       0.0000000   180
81.0000000          1.0000000       0.0000000       0.0000000   181
82.0000000          1.0000000       0.0000000       0.0000000   182
83.0000000          1.0000000       0.0000000       0.0000000   183
84.0000000          1.0000000       0.0000000       0.0000000   184
85.0000000          1.0000000       0.0000000       0.0000000   185
86.0000000          1.0000000       0.0000000       0.0000000   186
87.0000000          1.0000000       0.0000000       0.0000000   187
88.0000000          1.0000000       0.0000000       0.0000000   188
89.0000000          1.0000000       0.0000000       0.0000000   189
90.0000000          1.0000000       0.0000000       0.0000000   190
91.0000000          1.0000000       0.0000000       0.0000000   191
92.0000000          1.0000000       0.0000000       0.0000000   192
93.0000000          1.0000000       0.0000000       0.0000000   193
94.0000000          1.0000000       0.0000000       0.0000000   194
95.0000000          1.0000000       0.0000000       0.0000000   195
96.0000000          1.0000000       0.0000000       0.0000000   196
97.0000000          1.0000000       0.0000000       0.0000000   197
98.0000000          1.0000000       0.0000000       0.0000000   198
99.0000000          1.0000000       0.0000000       0.0000000   199
100.0000000         1.0000000       0.0000000       0.0000000   200
# -----------------------------------------------------------
