#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 10.0014947
#  Maximum: 11.6188650
#  Trials: 16
#  Mean: 10.6141448
# 
#  Variance: 0.1773635
#  Relative variance: 0.0015743
#  Coefficient of variation: 0.0396778
#  Standard deviation: 0.4211455
#  Relative standard deviation: 0.0396778
# 
#  Skewness: 0.6791964
# 
#  2nd moment: 112.8263480
#  3rd moment: 1201.1357307
# 
#  Sum of all values: 169.8263167
#  (Sum of all values)^2: 1805.2215676
#  (Sum of all values)^3: 19218.1716908
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 10.0114286
#  P02: 10.0228571
#  P03: 10.0342857
#  P04: 10.0457143
#  P05: 10.0571429
#  P06: 10.0685714
#  P07: 10.0800000
#  P08: 10.0914286
#  P09: 10.1028571
#  P10: 10.1142857
#  P11: 10.1257143
#  P12: 10.1371429
#  P13: 10.1485714
#  P14: 10.1600000
#  P15: 10.1714286
#  P16: 10.1828571
#  P17: 10.1942857
#  P18: 10.2057143
#  P19: 10.2171429
#  P20: 10.2285714
#  P21: 10.2400000
#  P22: 10.2514286
#  P23: 10.2628571
#  P24: 10.2742857
#  P25: 10.2857143
#  P26: 10.2971429
#  P27: 10.3085714
#  P28: 10.3200000
#  P29: 10.3314286
#  P30: 10.3428571
#  P31: 10.3542857
#  P32: 10.3657143
#  P33: 10.3771429
#  P34: 10.3885714
#  P35: 10.4000000
#  P36: 10.4114286
#  P37: 10.4228571
#  P38: 10.4342857
#  P39: 10.4457143
#  P40: 10.4571429
#  P41: 10.4685714
#  P42: 10.4800000
#  P43: 10.4914286
#  P44: 10.5028571
#  P45: 10.5142857
#  P46: 10.5257143
#  P47: 10.5371429
#  P48: 10.5485714
#  P49: 10.5600000
#  P50: 10.5714286
#  P51: 10.5828571
#  P52: 10.5942857
#  P53: 10.6057143
#  P54: 10.6171429
#  P55: 10.6285714
#  P56: 10.6400000
#  P57: 10.6514286
#  P58: 10.6628571
#  P59: 10.6742857
#  P60: 10.6857143
#  P61: 10.6971429
#  P62: 10.7085714
#  P63: 10.7200000
#  P64: 10.7314286
#  P65: 10.7428571
#  P66: 10.7542857
#  P67: 10.7657143
#  P68: 10.7771429
#  P69: 10.7885714
#  P70: 10.8000000
#  P71: 10.8114286
#  P72: 10.8228571
#  P73: 10.8342857
#  P74: 10.8457143
#  P75: 10.8571429
#  P76: 10.8685714
#  P77: 10.8800000
#  P78: 10.8914286
#  P79: 10.9028571
#  P80: 10.9142857
#  P81: 10.9257143
#  P82: 10.9371429
#  P83: 10.9485714
#  P84: 10.9600000
#  P85: 10.9714286
#  P86: 10.9828571
#  P87: 10.9942857
#  P88: 11.0247546
#  P89: 11.0742638
#  P90: 11.1237730
#  P91: 11.1732822
#  P92: 11.2227914
#  P93: 11.2723006
#  P94: 11.3218098
#  P95: 11.3713190
#  P96: 11.4208282
#  P97: 11.4703374
#  P98: 11.5198466
#  P99: 11.5693558
#  P100: 11.6188650
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
88.0000000          1.0000000       0.0000000       0.0000000   138
89.0000000          1.0000000       0.0000000       0.0000000   139
90.0000000          1.0000000       0.0000000       0.0000000   140
91.0000000          1.0000000       0.0000000       0.0000000   141
92.0000000          1.0000000       0.0000000       0.0000000   142
93.0000000          1.0000000       0.0000000       0.0000000   143
94.0000000          1.0000000       0.0000000       0.0000000   144
95.0000000          1.0000000       0.0000000       0.0000000   145
96.0000000          1.0000000       0.0000000       0.0000000   146
97.0000000          1.0000000       0.0000000       0.0000000   147
98.0000000          1.0000000       0.0000000       0.0000000   148
99.0000000          1.0000000       0.0000000       0.0000000   149
100.0000000         1.0000000       0.0000000       0.0000000   150
# -----------------------------------------------------------
