#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRest
#  Description: SINR Estimation [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 74.7961141
#  Maximum: 79.7591947
#  Trials: 320
#  Mean: 77.3209953
# 
#  Variance: 5.5550256
#  Relative variance: 0.0009292
#  Coefficient of variation: 0.0304821
#  Standard deviation: 2.3569102
#  Relative standard deviation: 0.0304821
# 
#  Skewness: -0.0043558
# 
#  2nd moment: 5984.0739798
#  3rd moment: 463550.8547340
# 
#  Sum of all values: 24742.7184951
#  (Sum of all values)^2: 1914903.6735492
#  (Sum of all values)^3: 148336273.5148673
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 74.0266667
#  P02: 74.0533333
#  P03: 74.0800000
#  P04: 74.1066667
#  P05: 74.1333333
#  P06: 74.1600000
#  P07: 74.1866667
#  P08: 74.2133333
#  P09: 74.2400000
#  P10: 74.2666667
#  P11: 74.2933333
#  P12: 74.3200000
#  P13: 74.3466667
#  P14: 74.3733333
#  P15: 74.4000000
#  P16: 74.4266667
#  P17: 74.4533333
#  P18: 74.4800000
#  P19: 74.5066667
#  P20: 74.5333333
#  P21: 74.5600000
#  P22: 74.5866667
#  P23: 74.6133333
#  P24: 74.6400000
#  P25: 74.6666667
#  P26: 74.6933333
#  P27: 74.7200000
#  P28: 74.7466667
#  P29: 74.7733333
#  P30: 74.8000000
#  P31: 74.8266667
#  P32: 74.8533333
#  P33: 74.8800000
#  P34: 74.9066667
#  P35: 74.9333333
#  P36: 74.9600000
#  P37: 74.9866667
#  P38: 75.0400000
#  P39: 75.1200000
#  P40: 75.2000000
#  P41: 75.2800000
#  P42: 75.3600000
#  P43: 75.4400000
#  P44: 75.5200000
#  P45: 75.6000000
#  P46: 75.6800000
#  P47: 75.7600000
#  P48: 75.8400000
#  P49: 75.9200000
#  P50: 76.0000000
#  P51: 79.0151839
#  P52: 79.0303678
#  P53: 79.0455517
#  P54: 79.0607356
#  P55: 79.0759195
#  P56: 79.0911034
#  P57: 79.1062873
#  P58: 79.1214712
#  P59: 79.1366551
#  P60: 79.1518389
#  P61: 79.1670228
#  P62: 79.1822067
#  P63: 79.1973906
#  P64: 79.2125745
#  P65: 79.2277584
#  P66: 79.2429423
#  P67: 79.2581262
#  P68: 79.2733101
#  P69: 79.2884940
#  P70: 79.3036779
#  P71: 79.3188618
#  P72: 79.3340457
#  P73: 79.3492296
#  P74: 79.3644135
#  P75: 79.3795974
#  P76: 79.3947813
#  P77: 79.4099652
#  P78: 79.4251490
#  P79: 79.4403329
#  P80: 79.4555168
#  P81: 79.4707007
#  P82: 79.4858846
#  P83: 79.5010685
#  P84: 79.5162524
#  P85: 79.5314363
#  P86: 79.5466202
#  P87: 79.5618041
#  P88: 79.5769880
#  P89: 79.5921719
#  P90: 79.6073558
#  P91: 79.6225397
#  P92: 79.6377236
#  P93: 79.6529075
#  P94: 79.6680914
#  P95: 79.6832753
#  P96: 79.6984592
#  P97: 79.7136430
#  P98: 79.7288269
#  P99: 79.7440108
#  P100: 79.7591947
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
89.0000000          1.0000000       0.0000000       0.0000000   139
90.0000000          1.0000000       0.0000000       0.0000000   140
91.0000000          1.0000000       0.0000000       0.0000000   141
92.0000000          1.0000000       0.0000000       0.0000000   142
93.0000000          1.0000000       0.0000000       0.0000000   143
94.0000000          1.0000000       0.0000000       0.0000000   144
95.0000000          1.0000000       0.0000000       0.0000000   145
96.0000000          1.0000000       0.0000000       0.0000000   146
97.0000000          1.0000000       0.0000000       0.0000000   147
98.0000000          1.0000000       0.0000000       0.0000000   148
99.0000000          1.0000000       0.0000000       0.0000000   149
100.0000000         1.0000000       0.0000000       0.0000000   150
# -----------------------------------------------------------
