#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.FrameOccupationFairness
#  Description: Frame Occupation Fairness
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0500000
#  Maximum: 0.0500000
#  Trials: 86
#  Mean: 0.0500000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000001
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0025000
#  3rd moment: 0.0001250
# 
#  Sum of all values: 4.3000000
#  (Sum of all values)^2: 0.2150000
#  (Sum of all values)^3: 0.0107500
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0401000
#  P02: 0.0402000
#  P03: 0.0403000
#  P04: 0.0404000
#  P05: 0.0405000
#  P06: 0.0406000
#  P07: 0.0407000
#  P08: 0.0408000
#  P09: 0.0409000
#  P10: 0.0410000
#  P11: 0.0411000
#  P12: 0.0412000
#  P13: 0.0413000
#  P14: 0.0414000
#  P15: 0.0415000
#  P16: 0.0416000
#  P17: 0.0417000
#  P18: 0.0418000
#  P19: 0.0419000
#  P20: 0.0420000
#  P21: 0.0421000
#  P22: 0.0422000
#  P23: 0.0423000
#  P24: 0.0424000
#  P25: 0.0425000
#  P26: 0.0426000
#  P27: 0.0427000
#  P28: 0.0428000
#  P29: 0.0429000
#  P30: 0.0430000
#  P31: 0.0431000
#  P32: 0.0432000
#  P33: 0.0433000
#  P34: 0.0434000
#  P35: 0.0435000
#  P36: 0.0436000
#  P37: 0.0437000
#  P38: 0.0438000
#  P39: 0.0439000
#  P40: 0.0440000
#  P41: 0.0441000
#  P42: 0.0442000
#  P43: 0.0443000
#  P44: 0.0444000
#  P45: 0.0445000
#  P46: 0.0446000
#  P47: 0.0447000
#  P48: 0.0448000
#  P49: 0.0449000
#  P50: 0.0450000
#  P51: 0.0451000
#  P52: 0.0452000
#  P53: 0.0453000
#  P54: 0.0454000
#  P55: 0.0455000
#  P56: 0.0456000
#  P57: 0.0457000
#  P58: 0.0458000
#  P59: 0.0459000
#  P60: 0.0460000
#  P61: 0.0461000
#  P62: 0.0462000
#  P63: 0.0463000
#  P64: 0.0464000
#  P65: 0.0465000
#  P66: 0.0466000
#  P67: 0.0467000
#  P68: 0.0468000
#  P69: 0.0469000
#  P70: 0.0470000
#  P71: 0.0471000
#  P72: 0.0472000
#  P73: 0.0473000
#  P74: 0.0474000
#  P75: 0.0475000
#  P76: 0.0476000
#  P77: 0.0477000
#  P78: 0.0478000
#  P79: 0.0479000
#  P80: 0.0480000
#  P81: 0.0481000
#  P82: 0.0482000
#  P83: 0.0483000
#  P84: 0.0484000
#  P85: 0.0485000
#  P86: 0.0486000
#  P87: 0.0487000
#  P88: 0.0488000
#  P89: 0.0489000
#  P90: 0.0490000
#  P91: 0.0491000
#  P92: 0.0492000
#  P93: 0.0493000
#  P94: 0.0494000
#  P95: 0.0495000
#  P96: 0.0496000
#  P97: 0.0497000
#  P98: 0.0498000
#  P99: 0.0499000
#  P100: 0.0500000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.7100000           1.0000000       0.0000000       0.0000000    71
0.7200000           1.0000000       0.0000000       0.0000000    72
0.7300000           1.0000000       0.0000000       0.0000000    73
0.7400000           1.0000000       0.0000000       0.0000000    74
0.7500000           1.0000000       0.0000000       0.0000000    75
0.7600000           1.0000000       0.0000000       0.0000000    76
0.7700000           1.0000000       0.0000000       0.0000000    77
0.7800000           1.0000000       0.0000000       0.0000000    78
0.7900000           1.0000000       0.0000000       0.0000000    79
0.8000000           1.0000000       0.0000000       0.0000000    80
0.8100000           1.0000000       0.0000000       0.0000000    81
0.8200000           1.0000000       0.0000000       0.0000000    82
0.8300000           1.0000000       0.0000000       0.0000000    83
0.8400000           1.0000000       0.0000000       0.0000000    84
0.8500000           1.0000000       0.0000000       0.0000000    85
0.8600000           1.0000000       0.0000000       0.0000000    86
0.8700000           1.0000000       0.0000000       0.0000000    87
0.8800000           1.0000000       0.0000000       0.0000000    88
0.8900000           1.0000000       0.0000000       0.0000000    89
0.9000000           1.0000000       0.0000000       0.0000000    90
0.9100000           1.0000000       0.0000000       0.0000000    91
0.9200000           1.0000000       0.0000000       0.0000000    92
0.9300000           1.0000000       0.0000000       0.0000000    93
0.9400000           1.0000000       0.0000000       0.0000000    94
0.9500000           1.0000000       0.0000000       0.0000000    95
0.9600000           1.0000000       0.0000000       0.0000000    96
0.9700000           1.0000000       0.0000000       0.0000000    97
0.9800000           1.0000000       0.0000000       0.0000000    98
0.9900000           1.0000000       0.0000000       0.0000000    99
1.0000000           1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
