#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 59.3169294
#  Maximum: 60.6464515
#  Trials: 56
#  Mean: 60.1716222
# 
#  Variance: 0.4132117
#  Relative variance: 0.0001141
#  Coefficient of variation: 0.0106830
#  Standard deviation: 0.6428154
#  Relative standard deviation: 0.0106830
# 
#  Skewness: -0.5803844
# 
#  2nd moment: 3621.0299512
#  3rd moment: 217931.9312944
# 
#  Sum of all values: 3369.6108433
#  (Sum of all values)^2: 202777.6772693
#  (Sum of all values)^3: 12204188.1524850
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 59.0280000
#  P02: 59.0560000
#  P03: 59.0840000
#  P04: 59.1120000
#  P05: 59.1400000
#  P06: 59.1680000
#  P07: 59.1960000
#  P08: 59.2240000
#  P09: 59.2520000
#  P10: 59.2800000
#  P11: 59.3080000
#  P12: 59.3360000
#  P13: 59.3640000
#  P14: 59.3920000
#  P15: 59.4200000
#  P16: 59.4480000
#  P17: 59.4760000
#  P18: 59.5040000
#  P19: 59.5320000
#  P20: 59.5600000
#  P21: 59.5880000
#  P22: 59.6160000
#  P23: 59.6440000
#  P24: 59.6720000
#  P25: 59.7000000
#  P26: 59.7280000
#  P27: 59.7560000
#  P28: 59.7840000
#  P29: 59.8120000
#  P30: 59.8400000
#  P31: 59.8680000
#  P32: 59.8960000
#  P33: 59.9240000
#  P34: 59.9520000
#  P35: 59.9800000
#  P36: 60.0028731
#  P37: 60.0129290
#  P38: 60.0229849
#  P39: 60.0330409
#  P40: 60.0430968
#  P41: 60.0531527
#  P42: 60.0632086
#  P43: 60.0732645
#  P44: 60.0833204
#  P45: 60.0933763
#  P46: 60.1034322
#  P47: 60.1134881
#  P48: 60.1235441
#  P49: 60.1336000
#  P50: 60.1436559
#  P51: 60.1537118
#  P52: 60.1637677
#  P53: 60.1738236
#  P54: 60.1838795
#  P55: 60.1939354
#  P56: 60.2039914
#  P57: 60.2140473
#  P58: 60.2241032
#  P59: 60.2341591
#  P60: 60.2442150
#  P61: 60.2542709
#  P62: 60.2643268
#  P63: 60.2743827
#  P64: 60.2844386
#  P65: 60.2944946
#  P66: 60.3045505
#  P67: 60.3146064
#  P68: 60.3246623
#  P69: 60.3347182
#  P70: 60.3447741
#  P71: 60.3548300
#  P72: 60.3648859
#  P73: 60.3749419
#  P74: 60.3849978
#  P75: 60.3950537
#  P76: 60.4051096
#  P77: 60.4151655
#  P78: 60.4252214
#  P79: 60.4352773
#  P80: 60.4453332
#  P81: 60.4553891
#  P82: 60.4654451
#  P83: 60.4755010
#  P84: 60.4855569
#  P85: 60.4956128
#  P86: 60.5056687
#  P87: 60.5157246
#  P88: 60.5257805
#  P89: 60.5358364
#  P90: 60.5458924
#  P91: 60.5559483
#  P92: 60.5660042
#  P93: 60.5760601
#  P94: 60.5861160
#  P95: 60.5961719
#  P96: 60.6062278
#  P97: 60.6162837
#  P98: 60.6263396
#  P99: 60.6363956
#  P100: 60.6464515
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
88.0000000          1.0000000       0.0000000       0.0000000   138
89.0000000          1.0000000       0.0000000       0.0000000   139
90.0000000          1.0000000       0.0000000       0.0000000   140
91.0000000          1.0000000       0.0000000       0.0000000   141
92.0000000          1.0000000       0.0000000       0.0000000   142
93.0000000          1.0000000       0.0000000       0.0000000   143
94.0000000          1.0000000       0.0000000       0.0000000   144
95.0000000          1.0000000       0.0000000       0.0000000   145
96.0000000          1.0000000       0.0000000       0.0000000   146
97.0000000          1.0000000       0.0000000       0.0000000   147
98.0000000          1.0000000       0.0000000       0.0000000   148
99.0000000          1.0000000       0.0000000       0.0000000   149
100.0000000         1.0000000       0.0000000       0.0000000   150
# -----------------------------------------------------------
