#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.Interference
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -114.4472749
#  Maximum: -114.4472749
#  Trials: 224
#  Mean: -114.4472749
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 13098.1787432
#  3rd moment: -1499050.8639588
# 
#  Sum of all values: -25636.1895886
#  (Sum of all values)^2: 2933992.0384868
#  (Sum of all values)^3: -335787393.5267741
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -200
#  Right border of x-axis: 200
#  Resolution of x-axis: 400
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -114.9944727
#  P02: -114.9889455
#  P03: -114.9834182
#  P04: -114.9778910
#  P05: -114.9723637
#  P06: -114.9668365
#  P07: -114.9613092
#  P08: -114.9557820
#  P09: -114.9502547
#  P10: -114.9447275
#  P11: -114.9392002
#  P12: -114.9336730
#  P13: -114.9281457
#  P14: -114.9226185
#  P15: -114.9170912
#  P16: -114.9115640
#  P17: -114.9060367
#  P18: -114.9005095
#  P19: -114.8949822
#  P20: -114.8894550
#  P21: -114.8839277
#  P22: -114.8784005
#  P23: -114.8728732
#  P24: -114.8673460
#  P25: -114.8618187
#  P26: -114.8562915
#  P27: -114.8507642
#  P28: -114.8452370
#  P29: -114.8397097
#  P30: -114.8341825
#  P31: -114.8286552
#  P32: -114.8231280
#  P33: -114.8176007
#  P34: -114.8120735
#  P35: -114.8065462
#  P36: -114.8010190
#  P37: -114.7954917
#  P38: -114.7899645
#  P39: -114.7844372
#  P40: -114.7789100
#  P41: -114.7733827
#  P42: -114.7678555
#  P43: -114.7623282
#  P44: -114.7568010
#  P45: -114.7512737
#  P46: -114.7457465
#  P47: -114.7402192
#  P48: -114.7346920
#  P49: -114.7291647
#  P50: -114.7236375
#  P51: -114.7181102
#  P52: -114.7125830
#  P53: -114.7070557
#  P54: -114.7015285
#  P55: -114.6960012
#  P56: -114.6904740
#  P57: -114.6849467
#  P58: -114.6794195
#  P59: -114.6738922
#  P60: -114.6683650
#  P61: -114.6628377
#  P62: -114.6573105
#  P63: -114.6517832
#  P64: -114.6462560
#  P65: -114.6407287
#  P66: -114.6352015
#  P67: -114.6296742
#  P68: -114.6241470
#  P69: -114.6186197
#  P70: -114.6130925
#  P71: -114.6075652
#  P72: -114.6020380
#  P73: -114.5965107
#  P74: -114.5909835
#  P75: -114.5854562
#  P76: -114.5799290
#  P77: -114.5744017
#  P78: -114.5688745
#  P79: -114.5633472
#  P80: -114.5578200
#  P81: -114.5522927
#  P82: -114.5467655
#  P83: -114.5412382
#  P84: -114.5357110
#  P85: -114.5301837
#  P86: -114.5246565
#  P87: -114.5191292
#  P88: -114.5136020
#  P89: -114.5080747
#  P90: -114.5025475
#  P91: -114.4970202
#  P92: -114.4914930
#  P93: -114.4859657
#  P94: -114.4804385
#  P95: -114.4749112
#  P96: -114.4693840
#  P97: -114.4638567
#  P98: -114.4583294
#  P99: -114.4528022
#  P100: -114.4472749
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
188.0000000         1.0000000       0.0000000       0.0000000   388
189.0000000         1.0000000       0.0000000       0.0000000   389
190.0000000         1.0000000       0.0000000       0.0000000   390
191.0000000         1.0000000       0.0000000       0.0000000   391
192.0000000         1.0000000       0.0000000       0.0000000   392
193.0000000         1.0000000       0.0000000       0.0000000   393
194.0000000         1.0000000       0.0000000       0.0000000   394
195.0000000         1.0000000       0.0000000       0.0000000   395
196.0000000         1.0000000       0.0000000       0.0000000   396
197.0000000         1.0000000       0.0000000       0.0000000   397
198.0000000         1.0000000       0.0000000       0.0000000   398
199.0000000         1.0000000       0.0000000       0.0000000   399
200.0000000         1.0000000       0.0000000       0.0000000   400
# -----------------------------------------------------------
