#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.total.window.incoming.compoundThroughputALLUT
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 6.0000000
#  Maximum: 50.0000000
#  Trials: 4
#  Mean: 28.0000000
# 
#  Variance: 645.3333333
#  Relative variance: 0.8231293
#  Coefficient of variation: 0.9072647
#  Standard deviation: 25.4034118
#  Relative standard deviation: 0.9072647
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 1268.0000000
#  3rd moment: 62608.0000000
# 
#  Sum of all values: 112.0000000
#  (Sum of all values)^2: 5072.0000000
#  (Sum of all values)^3: 250432.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1e+07
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.5000000
#  P02: 1.0000000
#  P03: 1.5000000
#  P04: 2.0000000
#  P05: 2.5000000
#  P06: 3.0000000
#  P07: 3.5000000
#  P08: 4.0000000
#  P09: 4.5000000
#  P10: 5.0000000
#  P11: 5.5000000
#  P12: 6.0000000
#  P13: 6.5000000
#  P14: 7.0000000
#  P15: 7.5000000
#  P16: 8.0000000
#  P17: 8.5000000
#  P18: 9.0000000
#  P19: 9.5000000
#  P20: 10.0000000
#  P21: 10.5000000
#  P22: 11.0000000
#  P23: 11.5000000
#  P24: 12.0000000
#  P25: 12.5000000
#  P26: 13.0000000
#  P27: 13.5000000
#  P28: 14.0000000
#  P29: 14.5000000
#  P30: 15.0000000
#  P31: 15.5000000
#  P32: 16.0000000
#  P33: 16.5000000
#  P34: 17.0000000
#  P35: 17.5000000
#  P36: 18.0000000
#  P37: 18.5000000
#  P38: 19.0000000
#  P39: 19.5000000
#  P40: 20.0000000
#  P41: 20.5000000
#  P42: 21.0000000
#  P43: 21.5000000
#  P44: 22.0000000
#  P45: 22.5000000
#  P46: 23.0000000
#  P47: 23.5000000
#  P48: 24.0000000
#  P49: 24.5000000
#  P50: 25.0000000
#  P51: 25.5000000
#  P52: 26.0000000
#  P53: 26.5000000
#  P54: 27.0000000
#  P55: 27.5000000
#  P56: 28.0000000
#  P57: 28.5000000
#  P58: 29.0000000
#  P59: 29.5000000
#  P60: 30.0000000
#  P61: 30.5000000
#  P62: 31.0000000
#  P63: 31.5000000
#  P64: 32.0000000
#  P65: 32.5000000
#  P66: 33.0000000
#  P67: 33.5000000
#  P68: 34.0000000
#  P69: 34.5000000
#  P70: 35.0000000
#  P71: 35.5000000
#  P72: 36.0000000
#  P73: 36.5000000
#  P74: 37.0000000
#  P75: 37.5000000
#  P76: 38.0000000
#  P77: 38.5000000
#  P78: 39.0000000
#  P79: 39.5000000
#  P80: 40.0000000
#  P81: 40.5000000
#  P82: 41.0000000
#  P83: 41.5000000
#  P84: 42.0000000
#  P85: 42.5000000
#  P86: 43.0000000
#  P87: 43.5000000
#  P88: 44.0000000
#  P89: 44.5000000
#  P90: 45.0000000
#  P91: 45.5000000
#  P92: 46.0000000
#  P93: 46.5000000
#  P94: 47.0000000
#  P95: 47.5000000
#  P96: 48.0000000
#  P97: 48.5000000
#  P98: 49.0000000
#  P99: 49.5000000
#  P100: 50.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
6600000.0000000     1.0000000       0.0000000       0.0000000    66
6700000.0000000     1.0000000       0.0000000       0.0000000    67
6800000.0000000     1.0000000       0.0000000       0.0000000    68
6900000.0000000     1.0000000       0.0000000       0.0000000    69
7000000.0000000     1.0000000       0.0000000       0.0000000    70
7100000.0000000     1.0000000       0.0000000       0.0000000    71
7200000.0000000     1.0000000       0.0000000       0.0000000    72
7300000.0000000     1.0000000       0.0000000       0.0000000    73
7400000.0000000     1.0000000       0.0000000       0.0000000    74
7500000.0000000     1.0000000       0.0000000       0.0000000    75
7600000.0000000     1.0000000       0.0000000       0.0000000    76
7700000.0000000     1.0000000       0.0000000       0.0000000    77
7800000.0000000     1.0000000       0.0000000       0.0000000    78
7900000.0000000     1.0000000       0.0000000       0.0000000    79
8000000.0000000     1.0000000       0.0000000       0.0000000    80
8100000.0000000     1.0000000       0.0000000       0.0000000    81
8200000.0000000     1.0000000       0.0000000       0.0000000    82
8300000.0000000     1.0000000       0.0000000       0.0000000    83
8400000.0000000     1.0000000       0.0000000       0.0000000    84
8500000.0000000     1.0000000       0.0000000       0.0000000    85
8600000.0000000     1.0000000       0.0000000       0.0000000    86
8700000.0000000     1.0000000       0.0000000       0.0000000    87
8800000.0000000     1.0000000       0.0000000       0.0000000    88
8900000.0000000     1.0000000       0.0000000       0.0000000    89
9000000.0000000     1.0000000       0.0000000       0.0000000    90
9100000.0000000     1.0000000       0.0000000       0.0000000    91
9200000.0000000     1.0000000       0.0000000       0.0000000    92
9300000.0000000     1.0000000       0.0000000       0.0000000    93
9400000.0000000     1.0000000       0.0000000       0.0000000    94
9500000.0000000     1.0000000       0.0000000       0.0000000    95
9600000.0000000     1.0000000       0.0000000       0.0000000    96
9700000.0000000     1.0000000       0.0000000       0.0000000    97
9800000.0000000     1.0000000       0.0000000       0.0000000    98
9900000.0000000     1.0000000       0.0000000       0.0000000    99
10000000.0000000     1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
